,a,b_x,c_x,d_x,e,f,g,h,i,j,k,b_y,c_y,d_y
587,Lund_01027,Body of water,Water resources,Natural landscape,Waterway,River,Watercourse,Bank,Stream,Nature,Water,Rinnebidck Gorge,a Daniel Nilsson, Nov 2017
588,Lund_02043,Classical architecture,Building,Architecture,Landmark,Facade,,,,,,Lundagérd,@ Juca Felix Galino, Jul 2016
589,Lund_00255,Building,Palace,Estate,Mansion,Landmark,Official residence,Château,Classical architecture,Architecture,Stately home,Lundagérd,D  Dominik Wojciec,
590,Lund_02452,Fountain,Water,Water resources,Water feature,Pond,,,,,,Coop Klostergarden,’ ‘f Magnus Erkenfel, Jul 2017
591,Lund_00817,Building,Property,Mansion,Estate,Stately home,Medieval architecture,Château,Architecture,Manor house,House,Bantorget,;ﬁ Alberto Umerkaje, May 2017
592,Lund_00668,Palace,Building,Estate,Mansion,Tree,,,,,,Lundagérd,Robert Schuhma, May 2018
593,Lund_00663,Landmark,Monument,Building,Property,Architecture,,,,,,Lundagérd 8,% Rehan Niazi, Mar 2017
594,Lund_01111,Classical architecture,Building,Landmark,Architecture,Palace,,,,,,Lunds universitet pa,@ (T QT T, Jan 2017
595,Lund_02332,Vegetation,Nature reserve,Tree,Grass,Wilderness,,,,,,Fredentorps Begravr,Christoffer Norér, Jul 2016
596,Lund_01449,Building,Architecture,,,,,,,,,Lundagérd,patrice bragard, Aug 2018
597,Lund_02803,Landmark,Building,Architecture,Medieval architecture,Classical architecture,Place of worship,Cathedral,City,Gothic architecture,Church,[T e T T T,"""% Jan Nilsson", Aug 2017
598,Lund_01708,Property,Building,Architecture,House,Town,Estate,Château,Home,,,Kulturen,Kim nicolai Pede, Jul 2018
599,Lund_00985,Building,Town,Medieval architecture,Architecture,,,,,,,[T e T T T,Ania Jasiok, Oct 2018
600,Lund_01868,Landmark,Building,Architecture,Medieval architecture,Town,Classical architecture,Facade,Spire,,,Lund Cathedral,H> Hans Wilhelm He, Jun 2016
601,Lund_01250,Building,Property,Architecture,Sky,Landmark,House,,,,,[T T o1 1 T T,RLLLICH, Jul 2018
602,Lund_02307,Natural landscape,Freshwater marsh,Natural environment,Marsh,Nature reserve,Vegetation,Fen,Wetland,Bank,Salt marsh,Nobbelovs mosse,M Maria Tracz, Jul 2017
603,Lund_00270,Architecture,Building,Medieval architecture,Landmark,Classical architecture,,,,,,[T DT TN ET,6 Ask Gasi, Jun 2018
604,Lund_01073,Architecture,Landmark,Building,Place of worship,Medieval architecture,Cathedral,Classical architecture,Church,Sky,Gothic architecture,Lund Cathedral,[ SRV L,
605,Lund_00446,Building,Landmark,Architecture,Property,Palace,Estate,Stately home,Château,,,Lundagérd 8,@ PP\, Jul 2016
606,Lund_00159,Town,Architecture,Building,Street light,Lighting,,,,,,"C"":} Leszek A Gasien","C"":} Leszek A Gasien", Jul 2017
607,Lund_00785,Landmark,Sky,Building,Estate,Architecture,Grass,Property,Stately home,Town,City,Bantorget 8,“f«:' Sorin Calugar, Mar 2017
608,Lund_01146,Building,Property,Architecture,Neighbourhood,Stately home,Brick,,,,,Lund Cathedral,; P RS E, Aug 2017
609,Lund_02257,Grassland,Land lot,Pasture,Meadow,Natural landscape,Natural environment,Prairie,Plain,Field,Rural area,Kent Johansson,Kent Johansson, May 2017
610,Lund_03201,Building,Medieval architecture,Architecture,Landmark,Church,Place of worship,,,,,Lund Cathedral,@ Krystian Czernek, Oct 2017
611,Lund_01986,Building,Architecture,Daytime,Metropolitan area,Human settlement,Urban design,City,Urban area,,,Sony Mobile Commu,John Wang, Jun 2013
612,Lund_00607,Landmark,Architecture,Building,Medieval architecture,Spire,Sky,Town,Cathedral,Church,Gothic architecture,Lundagérd 8,@ Sergio Garcia, Oct 2012
613,Lund_01273,Architecture,Building,Medieval architecture,Landmark,Gothic architecture,Classical architecture,Place of worship,,,,Lundagérd,ﬂ Bnapgumup Tutos, Jun 2016
614,Lund_02234,Body of water,Natural landscape,Nature,Water,Water resources,Natural environment,Vegetation,Bank,Nature reserve,River,Jeremiah S. Rich,Jeremiah S. Rich, Jun 2017
615,Lund_01776,Tree,Landmark,Medieval architecture,Château,Castle,Building,,,,,Lundagérd 9,L CIOEILEIVE, Oct 2017
616,Lund_00863,Landmark,Architecture,Palace,Building,Mansion,,,,,,Lundagérd,@ Juca Felix Galino, Jun 2016
617,Lund_00224,Building,Landmark,Architecture,Estate,Palace,,,,,,Lundagérd,@ cissio Oliveira, Oct 2017
618,Lund_02813,Landmark,Building,Architecture,Classical architecture,Medieval architecture,Facade,,,,,Chocolaterie Hovby |,A  Anna-Grethe Sore, May 2017
619,Lund_01384,Classical architecture,Building,Landmark,Architecture,,,,,,,Lundagérd,RoET. V] NN B, Jun 2013
620,Lund_00414,Estate,Building,Property,Mansion,Palace,Landmark,House,Official residence,Château,Stately home,[T T VT,f?‘ SANDHEEP KUM, Jun 2015
621,Lund_01844,Building,Landmark,Architecture,Medieval architecture,City,Human settlement,Classical architecture,,,,[T e T T T,Marc Fallon, Apr 2017
622,Lund_02356,Grassland,Natural landscape,Natural environment,Prairie,Pasture,Land lot,Plain,Meadow,Vegetation,Field,Klosteréingshdjden,T Toheed Q, Aug 2016
623,Lund_00824,Estate,Building,Property,House,Architecture,Mansion,Landmark,Home,,,Lundagérd 9,@ Daniel Klein, Aug 2018
624,Lund_00067,Property,Building,Architecture,,,,,,,,"l\i, Stana Minincic","l\i, Stana Minincic", Jul 2017
625,Lund_00273,Building,Classical architecture,Palace,Landmark,Architecture,Facade,Château,,,,Lundagérd 9,i Rafael Lara, Jun 2011
626,Lund_00685,Estate,House,Property,Landmark,Architecture,Sky,Building,Mansion,Home,Grass,Stadsparken 3,[y ’ Tom Black, Jun 2017
627,Lund_02690,Vegetation,Grass,Lawn,Natural landscape,Green,Natural environment,Nature reserve,Tree,Property,Land lot,Hundrastgard ¢,& Mats Lund, Jul 2016
628,Lund_02354,Natural landscape,Nature,Nature reserve,Watercourse,Vegetation,Water resources,Bank,Natural environment,Stream,Water,Rinnebick Gorge : H,Q Ani Vera, Aug 2017
629,Lund_02492,Building,,,,,,,,,,ICA Supermarket Lin,K Kristijan Daskalo, May 2017
630,Lund_00061,Landmark,Building,Town,Tree,Sky,Architecture,Water,,,,' (&1 EY T,' (&1 EY T, Dec 2016
631,Lund_02045,Garden,Nature,Vegetation,Tree,Green,Natural landscape,Botanical garden,Sky,Plant,Botany,Stadsparken 3,Johan Hildor, Jun 2017
632,Lund_03172,Grassland,Pasture,Lawn,Grass,Land lot,Meadow,Natural landscape,Field,Natural environment,Green,Dévenheten Lund,K Kommunikation |, May 2007
633,Lund_02701,Snow,Winter,Freezing,Atmospheric phenomenon,Tree,,,,,,Klosteréngshojden,Q Peter Nordensva, Jan 2017
634,Lund_02088,Town,Building,Property,Human settlement,Mixed-use,Street,Neighbourhood,City,Cobblestone,Public space,Lundagérd,Q‘* Alexandra Balab:, Jun 2014
635,Lund_02033,Natural landscape,Nature,Green,Vegetation,Sky,Tree,Water,Highland,Grass,Nature reserve,Rinnebick Gorge,Peter Vang Chris, Sep 2010
636,Lund_02331,Sport venue,Stadium,Grass,,,,,,,,. Christoffer Nor,. Christoffer Nor,Photo
637,Lund_03179,Property,Building,Estate,House,Home,Manor house,,,,,Kulturen,A'» Seb Cartoon, Aug 2017
638,Lund_00900,Building,Classical architecture,Landmark,Palace,Mansion,Architecture,Château,Estate,Stately home,Official residence,Lundagérd,Rimis Ivanauskis,
639,Lund_01727,Body of water,Waterway,Water,River,Canal,Tree,Reflection,Natural landscape,Bank,Sky,,, Aug 2017
640,Lund_02296,Building,Chapel,Church,Property,Roof,Parish,Place of worship,Architecture,,,[l e R ],[l e R ], Jul 2015
641,Lund_01039,Building,Classical architecture,Mansion,Estate,Palace,Property,Architecture,Château,Official residence,Stately home,Lundagérd,@ Mohammadjums, Mar 2016
642,Lund_02796,Tree,Branch,Twig,Woody plant,Plant,,,,,,"‘é"" [N","‘é"" [N", Aug 2018
643,Lund_01866,Building,Landmark,Property,Architecture,Town,Brick,Church,,,,[T TV HTET 3 T,a Abubakar M, Aug 2017
644,Lund_01900,Construction,Urban area,Roof,Reinforced concrete,,,,,,,Ideon Science Park,Ricardo Mendes, Aug 2017
645,Lund_01849,Landmark,Building,Architecture,Town,,,,,,,[T L He 1 BT,qﬁi Maxime LMA, Aug 2018
646,Lund_01366,Winter,Snow,Architecture,Freezing,Landmark,Building,Tree,,,,Lundagérd,Diana Benjumea, Mar 2018
647,Lund_01488,Building,Classical architecture,Architecture,Landmark,Palace,Facade,Mansion,,,,Lundagérd,(elT. 1 W [V =, Oct 2014
648,Lund_00612,Building,Medieval architecture,Property,Architecture,Wall,Castle,,,,,Lundagérd ¢,@ Kiryl Shantyka, Jun 2017
649,Lund_03187,Landmark,Architecture,Building,Winter,Sky,Town,City,Public space,,,Lundagérd,Adrian Popescu, Sep 2016
650,Lund_01172,Building,Architecture,Landmark,Medieval architecture,Classical architecture,Cathedral,Facade,,,,Lund Cathedral,E ) Edwin Meulman, Sep 2017
651,Lund_00979,Landmark,Medieval architecture,Architecture,Building,Church,Place of worship,Steeple,,,,DI TN G BT T,"-"";h‘ Larysa Rehab", May 2017
652,Lund_02009,Property,Architecture,Botany,Botanical garden,Building,,,,,,Stadsparken 9,"‘, henrik baard", Jun 2017
653,Lund_01592,Building,Architecture,Town,,,,,,,,Kulturen,M) M2 BEGONA DEL, Mar 2018
654,Lund_02711,Property,Door,Home door,,,,,,,,Frisk o Vacker Hudvi,(‘?‘ Estee Lavinen, May 2018
655,Lund_03197,Classical architecture,Building,Palace,Landmark,Architecture,Mansion,Château,Official residence,,,Lundagérd,(VI E R I GTET), Oct 2018
656,Lund_01989,Landmark,Classical architecture,Building,Architecture,Mansion,Palace,Stately home,Official residence,,,Lundagérd,& Bea Kovacsovics, Mar 2018
657,Lund_01018,Landmark,Sky,Building,Architecture,City,Daytime,Facade,Town,Human settlement,Urban area,(I LR G L,g\ Stefanie Graham, May 2018
658,Lund_00937,Landmark,Estate,Building,Sky,,,,,,,Stadsparken ¢,f} Filipe Naif, Jun 2018
659,Lund_00591,Building,Landmark,Palace,Estate,Classical architecture,Architecture,Mansion,Official residence,Stately home,Presidential palace,Lundagérd,@ Sebastian Sese K, Jun 2018
660,Lund_00451,Classical architecture,Building,Landmark,Architecture,Property,Mansion,Estate,House,Palace,,Lundagérd 8,@ Martin Giles, Mar 2014
661,Lund_02878,Water resources,Body of water,Natural landscape,Water,Bank,Reservoir,Natural environment,Lake,River,Nature reserve,L TR TR,Emanuel Johans,
662,Lund_01394,Landmark,Medieval architecture,Architecture,Building,Town,Facade,,,,,Lund Cathedral,Martin Ljungqvis,
663,Lund_00757,Aerial photography,Bird's-eye view,Metropolitan area,Urban area,Residential area,Suburb,Neighbourhood,Urban design,City,Metropolis,DT T e T,g é Per Pixel Peterss, Jul 2015
664,Lund_00832,Building,Estate,Mansion,Property,Palace,Official residence,Manor house,House,Classical architecture,,Lundagérd 9,@ Daniel Klein, Aug 2018
665,Lund_00486,Estate,Mansion,Building,Landmark,Property,Palace,Architecture,Stately home,Official residence,Presidential palace,Lundagérd,@ Felicia Johansso, May 2018
666,Lund_01834,Landmark,Medieval architecture,Architecture,Building,Church,Cathedral,,,,,[T T o1 T T T,Erik Nilsson, Mar 2017
667,Lund_02593,Body of water,Water resources,Natural landscape,Nature,Riparian zone,Water,River,Watercourse,Bank,Stream,Vackert stopp pa mii,[0 P, Aug 2016
668,Lund_02562,Vegetation,Natural environment,Sky,Grassland,Hill,Land lot,Shrubland,Wilderness,Ecoregion,Grass,Klosteréingshdjden,Klosteréingshdjden, Aug 2016
669,Lund_00387,Estate,Building,Palace,Mansion,Stately home,Château,Official residence,,,,Lundagérd,Z ) Zuzana Gonova, Jun 2017
670,Lund_02775,Sky,Landmark,Tree,Church,Spire,Architecture,,,,,Stefan Larsson,Stefan Larsson, Jan 2017
671,Lund_02424,Building,,,,,,,,,,Plantagen,‘3 Niclas Schedin, Mar 2017
672,Lund_02653,Tree,Snow,Winter,Branch,Plant,Woody plant,Freezing,,,,Standskallets samfi,iqg Dinu Atanasescu,
673,Lund_00605,Building,Landmark,Architecture,Property,Palace,,,,,,Lundagérd,R N Y VBT e, Jun 2011
674,Lund_01589,Nature,Garden,Sky,Grass,Tree,Property,Natural landscape,Lawn,Botany,Grass family,Botanical Garden,Mikael Sandstror, Sep 2017
675,Lund_01807,Building,Palace,Estate,,,,,,,,Lundagérd ¢,J) Janek Friesen,
676,Lund_00969,Sky,Cloud,Building,Landmark,Architecture,Town,Human settlement,Estate,Château,House,Bantorget 8,g% PO, Jul 2018
677,Lund_02012,Sky,Landmark,Architecture,Building,Church,,,,,,Lundagérd 9,Pavel Jicha,
678,Lund_02577,Freshwater marsh,Natural landscape,Vegetation,Natural environment,Water,Pond,Nature reserve,Water resources,Marsh,Grass,Nobbelbvs mosse,M Maria Tracz, Jul 2017
679,Lund_00902,Water,Sky,Fountain,Architecture,,,,,,,Lundagérd,'aﬁ Gaston Ragnar R, Aug 2016
680,Lund_00545,Building,Château,Estate,Palace,Public space,,,,,,Bantorget -,L. -, Jul 2017
681,Lund_01919,City,Town,Street,Human settlement,Neighbourhood,Downtown,Landmark,Building,Road,Public space,Lundagérd ¢,@ Ludovic Barth, Jul 2015
682,Lund_01732,Building,Landmark,Town,Human settlement,City,Public space,,,,,Lundagérd,Aleksandra Déag, Sep 2017
683,Lund_00261,Estate,Building,Mansion,Property,Palace,Landmark,Official residence,Architecture,,,Lundagérd,S GEERS Wy, Aug 2018
684,Lund_01339,Building,Estate,Landmark,Property,Palace,Mansion,Architecture,Stately home,,,qﬁi Maxime LMA,qﬁi Maxime LMA, Aug 2018
685,Lund_01573,Town square,Public space,Town,Human settlement,City,Architecture,Building,,,,Stortorget Restaurar,m) maciejadams, Mar 2017
686,Lund_01487,Nature,Water resources,Pond,Natural landscape,Nature reserve,Fish pond,Reservoir,Watercourse,Botany,Water,Stadsparken,Parashar Dhapol, Aug 2017
687,Lund_01304,Estate,Property,Garden,Building,House,,,,,,Lundagérd ¢,@ Ludovic Barth, Jul 2015
688,Lund_01617,Sky,Landmark,Building,Architecture,Medieval architecture,Church,,,,,[T T o1 T T T,AtilaK, Dec 2017
689,Lund_01325,Steeple,Building,Church,Landmark,Spire,Place of worship,Parish,Architecture,,,ﬁ BN PN R,ﬁ BN PN R, Jul 2017
690,Lund_02280,Natural landscape,Natural environment,Nature,Grassland,Nature reserve,Vegetation,Marsh,Pasture,Wetland,Land lot,Nobbel6vs mosse,Lilja Skéld, Sep 2016
691,Lund_01994,,,,,,,,,,,Lundagérd 9,a 31 E,
692,Lund_00738,Building,Classical architecture,Mansion,Architecture,Landmark,Palace,Estate,House,Official residence,Sky,Lundagérd,G  Giliana Gallegra, Aug 2018
693,Lund_02792,Landmark,Architecture,Building,Night,Sky,Light,Lighting,,,,f.s Meghnath Saha,f.s Meghnath Saha, Sep 2016
694,Lund_00702,Botanical garden,Garden,Property,Mansion,,,,,,,Lundagérd,'v Rafael Schwartz, May 2018
695,Lund_01104,Landmark,Architecture,Building,Medieval architecture,Historic site,Classical architecture,Sky,Facade,,,[T L He 1 BT,% Hans Olav Nyma, Jul 2018
696,Lund_02213,Body of water,Natural landscape,Water,Nature,Water resources,River,Watercourse,Sky,Stream,Bank,Rinnebick Gorge,Jacob Gradén, Apr 2017
697,Lund_00673,Building,Landmark,Mansion,Estate,Palace,Architecture,Stately home,Official residence,,,"Light place, nice aro",‘; LEGENETELET, Jul 2016
698,Lund_00968,Architecture,Building,Medieval architecture,Landmark,Sky,Gothic architecture,Cathedral,,,,Lund Cathedral,Joseph Mukama, Jan 2018
699,Lund_00620,Town,Building,Property,Public space,Human settlement,House,City,,,,",u:, NG T LN",",u:, NG T LN", Sep 2017
700,Lund_02799,Landmark,Sky,Property,Architecture,Building,House,Town,,,,Gamla observatoriet,@& ' Martin Ljungqvis, Mar 2017
701,Lund_00748,Building,Classical architecture,Landmark,Palace,Architecture,Mansion,Estate,Stately home,Official residence,,% Bnapumup Poma,% Bnapumup Poma, Nov 2016
702,Lund_00511,Estate,Building,Mansion,Palace,Architecture,Official residence,Stately home,,,,Lundagérd,’ Lisa Vult von Ste, Apr 2017
703,Lund_00117,Building,Medieval architecture,Architecture,Landmark,Church,Town,,,,,‘i’) [N,‘i’) [N, Aug 2018
704,Lund_01291,Property,Building,Town,Architecture,House,,,,,,Lund Cathedral,Krystian Czernek, Oct 2017
705,Lund_00099,House,Property,Architecture,Building,Landmark,Estate,Mansion,,,,%~ Juliane Vigané,%~ Juliane Vigané, Apr 2018
706,Lund_02080,,,,,,,,,,,Lundagérd,""" Andi Varn Johani", Aug 2011
707,Lund_02373,Building,,,,,,,,,,Maria Magdalena ky,&% Florian Weissbac, May 2018
708,Lund_02443,Natural landscape,Body of water,Natural environment,Marsh,Nature,Freshwater marsh,Sky,Nature reserve,Wetland,Fen,Nobbel6vs mosse,i\ 1T T, Jun 2014
709,Lund_02430,Property,Building,House,Architecture,Town,,,,,,Lime Technologies S,6 IR DL, Jul 2015
710,Lund_01105,Aerial photography,Bird's-eye view,Metropolitan area,Urban area,Residential area,Suburb,City,Cityscape,Metropolis,Human settlement,0 Per Pixel Peterss,0 Per Pixel Peterss, Jul 2015
711,Lund_02938,,,,,,,,,,,LT TR TR,K Karl Magnus Adi,
712,Lund_01412,Statue,Monument,Landmark,Memorial,Sculpture,,,,,,Tegnérsplatsen,6 IR DL, Feb 2015
713,Lund_00793,Building,Palace,Estate,Mansion,Château,Official residence,Stately home,Manor house,Architecture,Classical architecture,[T TV HTET 3 T,a Abubakar M, Aug 2017
714,Lund_00371,Landmark,Garden,Estate,Spring,Mansion,Botanical garden,Botany,Flower,Architecture,Palace,[T 8,. DIl, May 2016
715,Lund_01180,Building,Landmark,Architecture,Town,Medieval architecture,Stately home,Palace,,,,ISLK International Sc,Jeong Han Lee, Jan 2018
716,Lund_02957,Body of water,Water,Water resources,Watercourse,Stream,Rock,Natural landscape,Stream bed,Creek,Boulder,Rinnebick Gorge,é ) Peter Vang Chris, Sep 2010
717,Lund_01020,Monument,Landmark,Memorial,Historic site,,,,,,,Sankt Hans Hill,Q KHADIJA SAIDI, Sep 2018
718,Lund_00120,Sky,Spire,Landmark,Architecture,Church,Building,Place of worship,Parish,Steeple,,@ Sumeet Ranjan S,@ Sumeet Ranjan S, May 2017
719,Lund_02282,Sky,Land lot,Pasture,Cloud,Grass,Grassland,,,,,CircleK,e Thanon Shamel, Aug 2016
720,Lund_01795,Landmark,Steeple,Architecture,Building,Tree,Town,Sky,City,,,Lundagérd,Mandana Raghel, Jul 2018
721,Lund_01706,Town,Building,Neighbourhood,Property,House,Architecture,Transport,Street,Residential area,Human settlement,Café Mondo,‘f‘ James Andrews, May 2017
722,Lund_01405,Estate,Property,Mansion,Building,House,Palace,,,,,Lundagérd,",jfa Lucian Gevelegia", Aug 2008
723,Lund_01736,Natural landscape,Pasture,Green,Grassland,Road,Natural environment,Grass,Field,Meadow,Sky,Férhagar (Hundrastg,K Kalle Andersson, May 2018
724,Lund_01774,Classical architecture,Landmark,Architecture,Building,Monument,Facade,,,,,Lundagérd,‘; Ago Pértelpoeg, Jun 2018
725,Lund_03173,Grassland,Natural landscape,Pasture,Vegetation,Field,Nature,Natural environment,Meadow,Land lot,Grass,Klosteréngshojden,Klosteréngshojden, Oct 2018
726,Lund_00935,Building,Estate,Mansion,Palace,Classical architecture,Landmark,Property,Architecture,Stately home,Official residence,Lundagérd,‘ Ozren HadZiagi¢-, Jul 2007
727,Lund_00962,Estate,Building,Palace,Mansion,Château,Stately home,Official residence,House,,,Lundagérd,A) Arulselvi Selvaraj, Oct 2015
728,Lund_00626,Building,Estate,Classical architecture,Mansion,Palace,Architecture,Stately home,Official residence,,,Lundagérd,ﬂ Dimitri Claerbout, Sep 2016
729,Lund_02327,Building,,,,,,,,,,CircleK 9,Jill Miller, Aug 2017
730,Lund_02000,Urban area,Metropolitan area,Tourism,Waterway,Travel,,,,,,Loppmarknad,J) JAKAWAT PUMP, May 2017
731,Lund_00190,Landmark,Architecture,Building,Medieval architecture,City,,,,,,l\i) RIEUERNILT T,A G CLR Y EVRI K],
732,Lund_03015,Supermarket,Retail,Product,Building,Grocery store,Convenience store,Outlet store,,,,(o ST BTG R,LGRSl,
733,Lund_00306,Building,Landmark,Medieval architecture,Property,Architecture,Château,Stately home,Palace,Manor house,Classical architecture,Lundagérd,’@ MONICA MARIN(, Aug 2017
734,Lund_01331,Landmark,Medieval architecture,Architecture,Building,Classical architecture,Facade,Cathedral,Place of worship,Gothic architecture,,[ETLGEe0L E],E SRV VIN: Y, Aug 2017
735,Lund_00637,Building,Landmark,Architecture,Property,Classical architecture,Mansion,Palace,Estate,,,Lundagérd ¢,. Liv, Jan 2017
